# Gregorian month start,lunar year,lunar month,leap month
# Source: https://raw.githubusercontent.com/manakai/data-locale/241fa20712a179b2287d801bb30b51af227461e6/data/calendar/kyuureki-map.txt
# Source SHA-256: cfd10efe073a8a8a7ba0de7c53402a7c67a0c8a91c5c95fd14e98d1fc5eb1dfb
1933-11-18,1933,10,false
1933-12-17,1933,11,false
1934-01-15,1933,12,false
1934-02-14,1934,1,false
1934-03-15,1934,2,false
1934-04-14,1934,3,false
1934-05-13,1934,4,false
1934-06-12,1934,5,false
1934-07-12,1934,6,false
1934-08-10,1934,7,false
1934-09-09,1934,8,false
1934-10-09,1934,9,false
1934-11-07,1934,10,false
1934-12-07,1934,11,false
1935-01-05,1934,12,false
1935-02-04,1935,1,false
1935-03-05,1935,2,false
1935-04-03,1935,3,false
1935-05-03,1935,4,false
1935-06-01,1935,5,false
1935-07-01,1935,6,false
1935-07-30,1935,7,false
1935-08-29,1935,8,false
1935-09-28,1935,9,false
1935-10-27,1935,10,false
1935-11-26,1935,11,false
1935-12-26,1935,12,false
1936-01-24,1936,1,false
1936-02-23,1936,2,false
1936-03-23,1936,3,false
1936-04-21,1936,3,true
1936-05-21,1936,4,false
1936-06-19,1936,5,false
1936-07-19,1936,6,false
1936-08-17,1936,7,false
1936-09-16,1936,8,false
1936-10-15,1936,9,false
1936-11-14,1936,10,false
1936-12-14,1936,11,false
1937-01-13,1936,12,false
1937-02-11,1937,1,false
1937-03-13,1937,2,false
1937-04-11,1937,3,false
1937-05-10,1937,4,false
1937-06-09,1937,5,false
1937-07-08,1937,6,false
1937-08-06,1937,7,false
1937-09-05,1937,8,false
1937-10-04,1937,9,false
1937-11-03,1937,10,false
1937-12-03,1937,11,false
1938-01-02,1937,12,false
1938-01-31,1938,1,false
1938-03-02,1938,2,false
1938-04-01,1938,3,false
1938-04-30,1938,4,false
1938-05-29,1938,5,false
1938-06-28,1938,6,false
1938-07-27,1938,7,false
1938-08-25,1938,7,true
1938-09-24,1938,8,false
1938-10-23,1938,9,false
1938-11-22,1938,10,false
1938-12-22,1938,11,false
1939-01-20,1938,12,false
1939-02-19,1939,1,false
1939-03-21,1939,2,false
1939-04-20,1939,3,false
1939-05-19,1939,4,false
1939-06-17,1939,5,false
1939-07-17,1939,6,false
1939-08-15,1939,7,false
1939-09-13,1939,8,false
1939-10-13,1939,9,false
1939-11-11,1939,10,false
1939-12-11,1939,11,false
1940-01-09,1939,12,false
1940-02-08,1940,1,false
1940-03-09,1940,2,false
1940-04-08,1940,3,false
1940-05-07,1940,4,false
1940-06-06,1940,5,false
1940-07-05,1940,6,false
1940-08-04,1940,7,false
1940-09-02,1940,8,false
1940-10-01,1940,9,false
